Etiquetas de fila;Ene-18;Ene-18;Feb-18;Feb-18;Mar-18;Mar-18;Abr-18;Abr-18;May-18;May-18;Jun-18;Jun-18;Jul-18;Jul-18;Ago-18;Ago-18;SEP-18;SEP-18;Oct-18;Oct-18;Nov-18;Nov-18;Dic-18;Dic-18;Total IMPORTE;Total %
Etiquetas de fila;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%;IMPORTE;%
Temporada;-81,227.55;0.04%;-56,131.44;0.03%;-37,772.47;0.02%;-6,135.30;0.00%;-4,467.71;0.00%;-2,679.30;0.00%;-10,682.03;0.01%;-1,078.55;0.00%;-18,606.46;0.01%;-377,650.36;0.22%;-4,791,571.47;2.39%;-3,666,562.41;1.63%;-9,054,565.05;0.40%
Cajas Part Time;-238,677.50;0.11%;-191,939.61;0.11%;-239,035.97;0.12%;-243,813.29;0.13%;-325,729.30;0.18%;-481,015.58;0.29%;-452,730.38;0.25%;-342,791.32;0.18%;-428,363.34;0.24%;-379,119.41;0.22%;-806,874.26;0.40%;-1,166,648.28;0.52%;-5,296,738.24;0.23%
Generico;1,000,123.26;-0.48%;-1,304,379.32;0.72%;-590,243.06;0.29%;313,004.08;-0.17%;822,424.69;-0.46%;631,165.33;-0.38%;316,887.55;-0.18%;50,195.78;-0.03%;-120,364.30;0.07%;-162,759.19;0.09%;1,827,012.53;-0.91%;-4,441,845.47;1.97%;-1,658,778.12;0.07%
Arriendo Equipos y Herramientas;-79,812.54;0.04%;-88,856.84;0.05%;-91,708.57;0.05%;-97,258.40;0.05%;-78,768.63;0.04%;-77,035.99;0.05%;-56,903.23;0.03%;-91,224.19;0.05%;-77,866.21;0.04%;-84,155.75;0.05%;-95,405.50;0.05%;-90,282.83;0.04%;-1,009,278.68;0.04%
Servicios Especiales;-10,632.16;0.01%;-12,586.36;0.01%;-16,866.84;0.01%;-15,292.94;0.01%;-9,453.36;0.01%;-3,857.03;0.00%;-5,664.74;0.00%;-3,255.87;0.00%;-7,966.87;0.00%;-6,040.16;0.00%;-10,775.86;0.01%;-7,421.49;0.00%;-109,813.68;0.00%
Marketing;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%;;0.00%; -   ;0.00%; -   ;0.00%
Corporativo;;0.00%;412,363.14;-0.23%;31,610.41;-0.02%;3,844.22;0.00%;-6,009.87;0.00%;940.38;0.00%;10,717.82;-0.01%;3,656.47;0.00%;46.48;0.00%;1,139.67;0.00%;2,873.31;0.00%;-23,777.72;0.01%;437,404.31;-0.02%
Total general;-207,756,944.15;100.00%;-180,679,372.39;100.00%;-202,064,477.03;100.00%;-182,609,168.51;100.00%;-178,099,317.88;100.00%;-165,930,378.07;100.00%;-180,487,722.72;100.00%;-194,969,266.75;100.00%;-181,846,148.40;100.00%;-173,871,794.96;100.00%;-200,220,155.58;100.00%;-225,098,022.25;100.00%;-2,273,632,768.69;100.00%
;207,756,944.15;;180,679,371.91;;202,064,477.03;;182,609,168.51;;178,099,317.48;;165,930,378.07;;180,487,722.82;;194,969,266.49;;181,846,148.16;;173,871,794.96;;200,220,583.58;;225,098,022.25;;;
;0;;0;; -   ;; -   ;;0;; -   ;;0;;0;;0;; -   ;;428;;0;;;
